"start_id","end_id","type","keywords"
"india_trade_and_technology_council","topic_3","BELONGS_TO_TOPIC","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_institute_of_innovation_and_technology","topic_3","BELONGS_TO_TOPIC","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_innovation_council","topic_3","BELONGS_TO_TOPIC","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"eu_strategy_for_research_and_innovation","topic_3","BELONGS_TO_TOPIC","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"european_commission","topic_3","BELONGS_TO_TOPIC","[""innovation"",""european"",""commission"",""2021"",""innovation agenda""]"
"eu_cap_network","topic_10","BELONGS_TO_TOPIC","[""european"",""20"",""digital"",""network"",""union""]"
"eu_strategy_for_the_future_of_the_internet","topic_10","BELONGS_TO_TOPIC","[""european"",""20"",""digital"",""network"",""union""]"
"eu_strategy_for_africa","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"european_research_area_era_policy_agenda_actions","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_for_2025_2027","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe_strategic_plan","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_strategy_3","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"horizon_europe","topic_2","BELONGS_TO_TOPIC","[""horizon"",""plan"",""europe"",""horizon europe"",""strategic""]"
"eu_policy_area_cluster_4","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"eu_strategy_for_combating_organised_crime","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_3","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_1","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_5","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_6","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_4","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"cluster_2","topic_1","BELONGS_TO_TOPIC","[""cluster"",""technologies"",""continue"",""data"",""address""]"
"strengthening_social_and_economic_resilience_and_sustainability","topic_9","BELONGS_TO_TOPIC","[""resilience"",""sustainability"",""project"",""eu"",""policy""]"
"eu_policy_area_policy_framework","topic_9","BELONGS_TO_TOPIC","[""resilience"",""sustainability"",""project"",""eu"",""policy""]"
"eu_biodiversity_strategy_for_2030","topic_6","BELONGS_TO_TOPIC","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_missions_restore_our_ocean_and_waters","topic_6","BELONGS_TO_TOPIC","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_missions","topic_6","BELONGS_TO_TOPIC","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"european_green_deal","topic_6","BELONGS_TO_TOPIC","[""europe"",""missions"",""horizon europe"",""horizon"",""deal""]"
"eu_policy_on_carbon_farming","topic_5","BELONGS_TO_TOPIC","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eus_circular_economy_and_sustainable_bioeconomy","topic_5","BELONGS_TO_TOPIC","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_policy_area_climate_change","topic_5","BELONGS_TO_TOPIC","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_policy_area_climate_change_and_cultural_heritage","topic_5","BELONGS_TO_TOPIC","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"eu_strategy_on_adaptation_to_climate_change","topic_5","BELONGS_TO_TOPIC","[""climate"",""eu"",""climate change"",""change"",""energy""]"
"strengthened_security_research_and_innovation","topic_7","BELONGS_TO_TOPIC","[""security"",""civil"",""civil security"",""society"",""security society""]"
"eu_strategy_for_civil_security","topic_7","BELONGS_TO_TOPIC","[""security"",""civil"",""civil security"",""society"",""security society""]"
"eu_strategy_on_research_security","topic_7","BELONGS_TO_TOPIC","[""security"",""civil"",""civil security"",""society"",""security society""]"
"civil_security_for_society","topic_7","BELONGS_TO_TOPIC","[""security"",""civil"",""civil security"",""society"",""security society""]"
"eus_role_in_globalmultilateral_initiatives","topic_4","BELONGS_TO_TOPIC","[""eu"",""global"",""digital"",""space"",""ensure""]"
"eu_strategy_for_transport","topic_4","BELONGS_TO_TOPIC","[""eu"",""global"",""digital"",""space"",""ensure""]"
