"start_id","end_id","type","score"
"horizon_europe","european_green_deal","CROSS_TOPIC_SIMILARITY","0.743"
"eu_strategy_for_research_and_innovation","eus_ai_strategy","CROSS_TOPIC_SIMILARITY","0.604"
"eu_missions","eu_strategy_3","CROSS_TOPIC_SIMILARITY","0.65"
"european_green_deal","eu_strategy_3","CROSS_TOPIC_SIMILARITY","0.712"
"eu_strategy_for_research_and_innovation","eu_strategy_3","CROSS_TOPIC_SIMILARITY","0.662"
"european_green_deal","horizon_europe_strategic_plan","CROSS_TOPIC_SIMILARITY","0.668"
"eu_strategy_for_research_and_innovation","horizon_europe_strategic_plan","CROSS_TOPIC_SIMILARITY","0.649"
"eu_missions","eu_strategy_for_2025_2027","CROSS_TOPIC_SIMILARITY","0.634"
"european_green_deal","eu_strategy_for_2025_2027","CROSS_TOPIC_SIMILARITY","0.626"
"eu_strategy_for_research_and_innovation","eu_strategy_for_2025_2027","CROSS_TOPIC_SIMILARITY","0.638"
"european_green_deal","european_unions_strategy_for_the_green_transition","CROSS_TOPIC_SIMILARITY","0.813"
"eu_strategy_for_2025_2027","european_innovation_council","CROSS_TOPIC_SIMILARITY","0.629"
"horizon_europe_strategic_plan","european_innovation_council","CROSS_TOPIC_SIMILARITY","0.627"
"eu_strategy_3","european_innovation_council","CROSS_TOPIC_SIMILARITY","0.625"
"european_innovation_council","european_research_area_era_policy_agenda_actions","CROSS_TOPIC_SIMILARITY","0.646"
"eu_missions","european_research_area_era_policy_agenda_actions","CROSS_TOPIC_SIMILARITY","0.649"
"european_green_deal","european_research_area_era_policy_agenda_actions","CROSS_TOPIC_SIMILARITY","0.723"
"eu_strategy_for_research_and_innovation","european_research_area_era_policy_agenda_actions","CROSS_TOPIC_SIMILARITY","0.667"
"horizon_europe_strategic_plan","eu_strategy_on_research_security","CROSS_TOPIC_SIMILARITY","0.612"
"eu_strategy_3","eu_strategy_on_research_security","CROSS_TOPIC_SIMILARITY","0.625"
"eu_strategy_for_research_and_innovation","eu_strategy_on_research_security","CROSS_TOPIC_SIMILARITY","0.648"
"european_unions_strategy_for_the_green_transition","eu_strategy_on_health_and_safety_at_work","CROSS_TOPIC_SIMILARITY","0.672"
"eu_strategy_on_health_and_safety_at_work","eu_strategy_on_adaptation_to_climate_change","CROSS_TOPIC_SIMILARITY","0.644"
"european_unions_strategy_for_the_green_transition","eu_strategy_on_adaptation_to_climate_change","CROSS_TOPIC_SIMILARITY","0.621"
"european_unions_strategy_for_the_green_transition","eu_strategy_on_risk_assessment_of_chemicals","CROSS_TOPIC_SIMILARITY","0.674"
"eu_strategy_on_risk_assessment_of_chemicals","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.73"
"eu_strategy_on_adaptation_to_climate_change","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.647"
"eu_strategy_on_health_and_safety_at_work","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.774"
"european_research_area_era_policy_agenda_actions","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.637"
"european_unions_strategy_for_the_green_transition","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.759"
"eu_strategy_for_2025_2027","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.634"
"horizon_europe_strategic_plan","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.616"
"eu_strategy_3","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.646"
"eu_missions","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.69"
"european_green_deal","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.761"
"eu_strategy_for_research_and_innovation","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.619"
"horizon_europe","eu_policy_area_policy_framework","CROSS_TOPIC_SIMILARITY","0.606"
"eu_policy_area_policy_framework","eu_policy_area_climate_change_and_cultural_heritage","CROSS_TOPIC_SIMILARITY","0.652"
"european_unions_strategy_for_the_green_transition","eu_policy_area_climate_change_and_cultural_heritage","CROSS_TOPIC_SIMILARITY","0.633"
"european_institute_of_innovation_and_technology","actions","CROSS_TOPIC_SIMILARITY","0.613"
"european_innovation_council","actions","CROSS_TOPIC_SIMILARITY","0.68"
"eu_strategy_for_research_and_innovation","actions","CROSS_TOPIC_SIMILARITY","0.615"
"actions","eus_policy_framework_for_r_i_action","CROSS_TOPIC_SIMILARITY","0.618"
"eu_policy_area_policy_framework","eus_policy_framework_for_r_i_action","CROSS_TOPIC_SIMILARITY","0.698"
"eu_strategy_on_health_and_safety_at_work","eus_policy_framework_for_r_i_action","CROSS_TOPIC_SIMILARITY","0.622"
"european_green_deal","eus_policy_framework_for_r_i_action","CROSS_TOPIC_SIMILARITY","0.609"
"eu_strategy_for_civil_security","eu_strategy_for_combating_organised_crime","CROSS_TOPIC_SIMILARITY","0.614"
"eu_policy_area_policy_framework","european_econ","CROSS_TOPIC_SIMILARITY","0.668"
"eu_strategy_on_adaptation_to_climate_change","european_econ","CROSS_TOPIC_SIMILARITY","0.624"
"european_research_area_era_policy_agenda_actions","european_econ","CROSS_TOPIC_SIMILARITY","0.611"
"eu_strategy_3","european_econ","CROSS_TOPIC_SIMILARITY","0.606"
"eu_strategy_for_research_and_innovation","european_econ","CROSS_TOPIC_SIMILARITY","0.648"
"european_econ","eu_strategy","CROSS_TOPIC_SIMILARITY","0.606"
"eu_policy_area_policy_framework","eu_strategy","CROSS_TOPIC_SIMILARITY","0.646"
"eu_strategy_on_research_security","eu_strategy","CROSS_TOPIC_SIMILARITY","0.625"
"european_innovation_council","eu_strategy","CROSS_TOPIC_SIMILARITY","0.625"
"eu_missions","eu_strategy","CROSS_TOPIC_SIMILARITY","0.65"
"european_green_deal","eu_strategy","CROSS_TOPIC_SIMILARITY","0.712"
"eu_strategy_for_research_and_innovation","eu_strategy","CROSS_TOPIC_SIMILARITY","0.662"
"eu_strategy","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.643"
"european_econ","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.66"
"eus_policy_framework_for_r_i_action","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.646"
"eu_policy_area_policy_framework","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.71"
"eu_strategy_on_risk_assessment_of_chemicals","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.602"
"eu_strategy_on_health_and_safety_at_work","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.628"
"european_unions_strategy_for_the_green_transition","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.676"
"eu_strategy_3","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.643"
"eu_missions","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.62"
"european_green_deal","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.636"
"eu_strategy_for_research_and_innovation","eus_strategy_for_international_cooperation","CROSS_TOPIC_SIMILARITY","0.651"
"eus_strategy_for_international_cooperation","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.608"
"european_econ","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.641"
"eus_policy_framework_for_r_i_action","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.601"
"eu_policy_area_policy_framework","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.721"
"eu_strategy_on_health_and_safety_at_work","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.688"
"european_unions_strategy_for_the_green_transition","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.663"
"eu_missions","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.65"
"european_green_deal","eu_policy_area_climate_change","CROSS_TOPIC_SIMILARITY","0.608"
"european_econ","eus_digital_decade","CROSS_TOPIC_SIMILARITY","0.621"
